Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Y_Trimmed_Candidates,Matched_Y_Trimmed,Match_Found
130252131,502.5,C25H26O11,C[C@H]([C@@H](C[C@@](C)(C(=O)O)OC(=O)/C=C/C1=CC(=C(C=C1)O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O,"(2S,4R,5R)-2,5-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]-4-hydroxy-2-methylhexanoic acid",0,1,C26H28O11,,CCCCCCCOOOCOCCCCCCCCOOOOCOCCCCCCCCOO,,,False
129909182,452.6,C29H40O4,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/COC(=O)/C=C/C1=CC(=C(C=C1)O)O)/C)/C)/C)C,"[(2E,6E,10E)-3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraenyl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",1,0,C30H42O4,,CCCCCCCCCCCCCCCCOCOCCCCCCCCOOCCCC,,,False
129908502,864.8,C45H36O18,C1C([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=C3C(=CC5=C4[C@@H]6[C@H]([C@](O5)(OC7=CC(=CC(=C67)O)O)C8=CC(=C(C=C8)O)O)O)O)C9=CC(=C(C=C9)O)O)O)O)O)C1=CC(=C(C=C1)O)O)O,"(1R,5R,6R,7S,13S,21R)-5,13-bis(3,4-dihydroxyphenyl)-7-[(2R)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-8-yl]-4,12,14-trioxapentacyclo[11.7.1.02,11.03,8.015,20]henicosa-2(11),3(8),9,15,17,19-hexaene-6,9,17,19,21-pentol",0,0,C46H38O18,,CCCOCCCCCCCCCOCCCCCCCCCOOCCCCCCOOCCCCCCOOOOCCCCCCOOOOOCCCCCCOOO,,,False
129901105,732.6,C37H32O16,COC(=O)[C@@H](CC1=CC(=C(C=C1)O)O)OC(=O)[C@@H]2[C@@H](OC3=C(C=CC(=C23)/C=C/C(=O)O[C@H](CC4=CC(=C(C=C4)O)O)C(=O)O)O)C5=CC(=C(C=C5)O)O,"(2R)-3-(3,4-dihydroxyphenyl)-2-[(E)-3-[(2R,3S)-2-(3,4-dihydroxyphenyl)-3-[(2R)-3-(3,4-dihydroxyphenyl)-1-methoxy-1-oxopropan-2-yl]oxycarbonyl-7-hydroxy-2,3-dihydro-1-benzofuran-4-yl]prop-2-enoyl]oxypropanoic acid",0,0,C38H34O16,,COCOCCCCCCCCOOOCOCCOCCCCCCCCCOOCCCCCCCCOOCOOOCCCCCCOO,,,False
129887432,456.4,C23H20O10,COC1=C(C=CC(=C1)C(=O)OC2([C@@H](CC3=C(C=C(C=C3O2)O)O)O)C4=CC(=C(C=C4)O)O)O,"[(3R)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydrochromen-2-yl] 4-hydroxy-3-methoxybenzoate",2,0,C24H22O10,,COCCCCCCCOOCCCCCCCCCOOOOCCCCCCOOO,,,False
129887363,476.4,C23H24O11,CCC1=C(C2=C(C=C1O)OC(=C(C2=O)O[C@H]3[C@@H]([C@@H]([C@H]([C@@H](O3)C)O)O)O)C4=CC(=C(C=C4)O)O)O,"2-(3,4-dihydroxyphenyl)-6-ethyl-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",1,0,C24H26O11,,CCCCCCCCOOCCCOOCCCCCOCOOOCCCCCCOOO,,,False
129869237,282.25,C13H14O7,C1=CC(=C(C=C1/C=C/CC(CC(=O)O)(C(=O)O)O)O)O,"2-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enyl]-2-hydroxybutanedioic acid",3,0,C14H16O7,,CCCCCCCCCCCCOOCOOOOO,,,False
129869230,282.25,C13H14O7,C1=CC(=C(C=C1/C=C/COC(CC(=O)O)C(=O)O)O)O,"2-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoxy]butanedioic acid",2,0,C14H16O7,,CCCCCCCCCOCCCOOCOOOO,,,False
129863916,236.31,C14H20O3,CCCCC(CC)C(=O)C1=CC(=C(C=C1)O)O,"1-(3,4-dihydroxyphenyl)-2-ethylhexan-1-one",1,0,C15H22O3,,CCCCCCCCOCCCCCCOO,,,False
129863859,404.6,C26H44O3,CCCCCCCCCCCCCCCCCCCC(=O)C1=CC(=C(C=C1)O)O,"1-(3,4-dihydroxyphenyl)icosan-1-one",1,0,C27H46O3,,CCCCCCCCCCCCCCCCCCCCOCCCCCCOO,,,False
