Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
121306779,262.3,C18H14O2,C/C=C\1/C=C(C(=O)C2=CC=CC=C21)C3=CC=C(C=C3)O,(4Z)-4-ethylidene-2-(4-hydroxyphenyl)naphthalen-1-one,0,0,C18H14O3,22508143.0,CCCCCCOCCCCCCCCCCCCO,1,172695303
121304105,228.29,C15H16O2,CC1=C(C(=CC=C1)C(C)C2=CC=C(C=C2)O)O,2-[1-(4-hydroxyphenyl)ethyl]-6-methylphenol,0,2,C15H16O3,102722.0,CCCCCCCCCCCCCCCOO,64,150265163;169863683;168150481;163839147;163826530;160782032;155262286;154400824;141218509;140174523;134525037;130228173;118142427;118142425;102586603;102282001;102239909;102124999;102124998;101299647;101299643;101299642;101299639;101299607;101299603;101299602;101299599;100943211;100943210;100943209;90015536;84157248;71416199;70520955;70330436;68467507;57233905;56961600;54078618;44158479;23173355;21586709;21074434;20355721;20355718;19887670;18789826;18000573;18000572;15473956;14848833;11086006;10988515;10634037;10562259;7057686;7057685;7057684;7057683;2755699;656689;320671;120660;102722
121304104,242.31,C16H18O2,CC1=C(C(=CC=C1)C(C)(C)C2=CC=C(C=C2)O)O,2-[2-(4-hydroxyphenyl)propan-2-yl]-6-methylphenol,0,3,C16H18O3,285881.0,CCCCCCCCCCCCCCCCOO,80,171906355;124580992;168150478;168150477;167223989;164954948;164899528;162994875;14729032;162651225;159210295;157057758;142818288;141218492;141190703;141031680;141031679;139838660;139708023;137375721;137375720;132602856;129088183;123704185;123313532;103459537;103459471;103459366;103459349;102380114;102357286;101303287;101303285;101303284;101303280;101303279;101303275;101303274;101303223;101303221;101303220;101303216;101303215;101303211;101303210;101303200;101303197;101303194;101303168;101303165;101303162;88387670;86152774;86025495;83939020;82185813;72204230;71378886;59886003;46195817;46185523;44440176;40548529;40548528;22925810;20355714;20355708;20355680;19895186;19868595;16743084;16111540;15315735;15167140;14699866;13119199;10106566;9813813;4427475;285881
118988390,320.4,C22H24O2,C1C[C@H]2CC=C[C@@H](C1)[C@H]2C(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,"4-[[(1R,5S,9S)-9-bicyclo[3.3.1]non-2-enyl]-(4-hydroxyphenyl)methyl]phenol",0,0,C22H24O3,11045971.0,CCCCCCCCCCCCCCCCOCCCCCCO,2,139597624;44287845
118988371,360.5,C25H28O2,C[C@@H](C1=CC=C(C=C1)C(C)(C)C)C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,4-[(2R)-2-(4-tert-butylphenyl)-1-(4-hydroxyphenyl)propyl]phenol,0,0,C25H28O3,85557774.0,CCCCCCCCCCCCCCCCCCCOCCCCCCO,2,100961940;85953866
118632927,350.4,C25H18O2,C1=CC=C(C(=C1)CC2=CC=CC=C2C3=CC=C(C#C3)O)C4=CC=C(C=C4)O,"4-[2-[[2-(4-hydroxyphenyl)phenyl]methyl]phenyl]cyclohexa-1,3-dien-5-yn-1-ol",0,1,C25H18O3,155358522.0,CCCCCCCCCCCCCCCCCCCOCCCCCCO,1,155358522
118598515,242.31,C16H18O2,CC1=CC(=C(C=C1O)C(C)C)C2=CC=C(C=C2)O,4-(4-hydroxyphenyl)-2-methyl-5-propan-2-ylphenol,0,1,C16H18O3,285881.0,CCCCCCCOCCCCCCCCCO,18,135056045;132602856;129105625;103459471;103459349;102380114;102357286;88387670;71378886;59886003;46185523;22925810;19868595;16743084;15315735;15167140;13119199;9813813
118490469,486.6,C28H38O7,CCC1CC(OC(O1)C2=CC=C(C=C2)O)CCCC(CC3C[C@@H](OC(O3)C4=CC=C(C=C4)O)C)O,"4-[(6S)-4-[5-[6-ethyl-2-(4-hydroxyphenyl)-1,3-dioxan-4-yl]-2-hydroxypentyl]-6-methyl-1,3-dioxan-2-yl]phenol",0,3,C28H38O8,10625274.0,CCCCCOCOCCCCCCOCCCCCCCCOCOCCCCCCOCO,1,118490475
118371186,352.4,C25H20O2,C1=CC=C(C=C1)C2=CC=CC=C2C(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,4-[(4-hydroxyphenyl)-(2-phenylphenyl)methyl]phenol,0,5,C25H20O3,998422.0,CCCCCCCCCCCCCCCCCCCOCCCCCCO,1,143649136
118340117,410.6,C28H42O2,CCCCCCCCCCCCCCCCC1=C(C=CC(=C1)C2=CC=C(C=C2)O)O,2-hexadecyl-4-(4-hydroxyphenyl)phenol,0,4,C28H42O3,139729608.0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCOO,1,139729608
