Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count
101999260,848.8,C46H40O16,COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C(O2)C4=C(C5=C3O[C@@H]([C@H]([C@@H]5C6=C(C=C(C=C6)O)O)O)C7=CC(=C(C=C7)O)O)O[C@H]([C@H]([C@@H]4C8=C(C=C(C=C8)O)O)O)C9=CC(=C(C=C9)O)O)O)O,"(4R,5S,6R,10S,11S,12R,16R,17S)-6,12-bis(2,4-dihydroxyphenyl)-4,10-bis(3,4-dihydroxyphenyl)-16-(3-hydroxy-4-methoxyphenyl)-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1(14),2(7),8(13)-triene-5,11,17-triol",0,0
101999259,848.8,C46H40O16,COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C(O2)C4=C(C5=C3O[C@H]([C@H]([C@@H]5C6=C(C=C(C=C6)O)O)O)C7=CC(=C(C=C7)O)O)O[C@H]([C@H]([C@@H]4C8=C(C=C(C=C8)O)O)O)C9=CC(=C(C=C9)O)O)O)O,"(4S,5S,6R,10S,11S,12R,16R,17S)-6,12-bis(2,4-dihydroxyphenyl)-4,10-bis(3,4-dihydroxyphenyl)-16-(3-hydroxy-4-methoxyphenyl)-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1(14),2(7),8(13)-triene-5,11,17-triol",0,0
101998836,862.8,C47H42O16,CC1=CC(=C(C=C1O)O)[C@@H]2[C@@H]([C@H](OC3=C2C4=C([C@H]([C@@H]([C@@H](O4)C5=CC(=C(C=C5)O)O)O)C6=C(C=C(C=C6)O)O)C7=C3C[C@@H]([C@H](O7)C8=CC(=C(C=C8)OC)O)O)C9=CC(=C(C=C9)O)O)O,"(4R,5S,6S,10S,11S,12R,16R,17S)-6-(2,4-dihydroxy-5-methylphenyl)-12-(2,4-dihydroxyphenyl)-4,10-bis(3,4-dihydroxyphenyl)-16-(3-hydroxy-4-methoxyphenyl)-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-1(14),2(7),8(13)-triene-5,11,17-triol",0,0
101998835,848.8,C46H40O16,COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C4C(=C(C(=C3O2)[C@@H]5[C@@H]([C@H](OC6=C5C=CC(=C6)O)C7=CC(=C(C=C7)O)O)O)O)[C@@H]([C@H]([C@H](O4)C8=C(C=C(C=C8)O)O)O)C9=CC(=C(C=C9)O)O)O)O,"(2R,3R,4S,8R,9S)-2-(2,4-dihydroxyphenyl)-4-(3,4-dihydroxyphenyl)-6-[(2R,3S,4R)-2-(3,4-dihydroxyphenyl)-3,7-dihydroxy-3,4-dihydro-2H-chromen-4-yl]-8-(3-hydroxy-4-methoxyphenyl)-2,3,4,8,9,10-hexahydropyrano[2,3-h]chromene-3,5,9-triol",0,0
101998834,848.8,C46H40O16,COC1=C(C=C(C=C1)[C@@H]2[C@H](CC3=C4C(=C(C(=C3O2)[C@@H]5[C@@H]([C@H](OC6=C5C=CC(=C6)O)C7=CC(=C(C=C7)O)O)O)O)[C@H]([C@@H]([C@@H](O4)C8=CC(=C(C=C8)O)O)O)C9=C(C=C(C=C9)O)O)O)O,"(2S,3S,4R,8R,9S)-4-(2,4-dihydroxyphenyl)-2-(3,4-dihydroxyphenyl)-6-[(2R,3S,4R)-2-(3,4-dihydroxyphenyl)-3,7-dihydroxy-3,4-dihydro-2H-chromen-4-yl]-8-(3-hydroxy-4-methoxyphenyl)-2,3,4,8,9,10-hexahydropyrano[2,3-h]chromene-3,5,9-triol",0,0
101993907,360.4,C20H24O6,COC1=C(C=C(C=C1)CC2COCC2[C@@H](C3=CC(=C(C=C3)OC)O)O)O,5-[[4-[(S)-hydroxy-(3-hydroxy-4-methoxyphenyl)methyl]oxolan-3-yl]methyl]-2-methoxyphenol,0,0
101993906,360.4,C20H24O6,COC1=C(C=C(C=C1)CC2COCC2[C@H](C3=CC(=C(C=C3)OC)O)O)O,5-[[4-[(R)-hydroxy-(3-hydroxy-4-methoxyphenyl)methyl]oxolan-3-yl]methyl]-2-methoxyphenol,0,0
101988846,784.8,C36H48O19,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCCC3=CC(=C(C=C3)OC)O)O)O[C@H]4[C@@H]([C@](CO4)(CO)O)O)OC(=O)/C=C/C5=CC(=C(C=C5)O)OC)O)O)O,"[(2R,3R,4R,5R,6R)-4-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-5-hydroxy-6-[2-(3-hydroxy-4-methoxyphenyl)ethoxy]-2-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-3-yl] (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",2,0
101987498,212.2,C10H12O5,COC1=C(C=C(C=C1)[C@H](C(=O)OC)O)O,methyl (2R)-2-hydroxy-2-(3-hydroxy-4-methoxyphenyl)acetate,0,0
101987497,212.2,C10H12O5,COC1=C(C=C(C=C1)[C@@H](C(=O)OC)O)O,methyl (2S)-2-hydroxy-2-(3-hydroxy-4-methoxyphenyl)acetate,0,0
101985980,646.9,C39H66O7,COC1=C(C=C(C=C1)/C=C/C(=O)CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(CO)O)O,"2,3-dihydroxypropyl (E)-29-(3-hydroxy-4-methoxyphenyl)-27-oxononacos-28-enoate",0,0
101981554,330.29,C17H14O7,COC1=C(C=C(C=C1)/C=C(\C2=C(C(=CC=C2)O)C(=O)O)/C(=O)O)O,2-[(E)-1-carboxy-2-(3-hydroxy-4-methoxyphenyl)ethenyl]-6-hydroxybenzoic acid,0,0
101937999,538.5,C25H30O13,COC1=C(C=C(C=C1)/C=C/C(=O)OC[C@@]23[C@@H]4[C@@H](C=CO[C@H]4O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)[C@@H]([C@@H]2O3)O)O,"[(1S,2S,4S,5S,6R,10S)-5-hydroxy-10-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,9-dioxatricyclo[4.4.0.02,4]dec-7-en-2-yl]methyl (E)-3-(3-hydroxy-4-methoxyphenyl)prop-2-enoate",2,0
101937123,356.32,C16H20O9,COC1=C(C=C(C=C1)/C=C/C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O,"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (E)-3-(3-hydroxy-4-methoxyphenyl)prop-2-enoate",3,0
101936602,898.9,C41H54O22,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C\C3=CC(=C(C=C3)O)OC)CO)OCCC4=CC(=C(C=C4)OC)O)O)OC(=O)C)OC(=O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,"[(2R,3R,4R,5R,6R)-4-[(2S,3R,4R,5S,6S)-3,4-diacetyloxy-6-methyl-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-6-[2-(3-hydroxy-4-methoxyphenyl)ethoxy]-2-(hydroxymethyl)oxan-3-yl] (Z)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",2,0
101936601,898.9,C41H54O22,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)OC)CO)OCCC4=CC(=C(C=C4)OC)O)O)OC(=O)C)OC(=O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,"[(2R,3R,4R,5R,6R)-4-[(2S,3R,4R,5S,6S)-3,4-diacetyloxy-6-methyl-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-6-[2-(3-hydroxy-4-methoxyphenyl)ethoxy]-2-(hydroxymethyl)oxan-3-yl] (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",2,0
101936062,632.9,C40H56O6,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)OC(=O)/C=C/C6=CC(=C(C=C6)OC)O,"(4aS,6aR,6aS,6bR,8aR,10S,12aR,14bS)-10-[(E)-3-(3-hydroxy-4-methoxyphenyl)prop-2-enoyl]oxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylic acid",0,0
101916411,450.4,C21H22O11,COC1=C(C=C(C=C1)/C=C/C(=O)O[C@H]2[C@@H]([C@H](O[C@H]([C@@H]2O)OC3=COC=CC3=O)CO)O)O,"[(2R,3R,4S,5R,6S)-3,5-dihydroxy-2-(hydroxymethyl)-6-(4-oxopyran-3-yl)oxyoxan-4-yl] (E)-3-(3-hydroxy-4-methoxyphenyl)prop-2-enoate",0,0
101916307,406.4,C23H18O7,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C(=C3O2)CC4=CC=C(C=C4)O)O)O)O,"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-8-[(4-hydroxyphenyl)methyl]chromen-4-one",0,0
101915912,694.7,C33H42O16,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)OC)CO)OCCC4=CC(=C(C=C4)OC)O)O)OC(=O)C)O)O,"[(2R,3R,4R,5R,6R)-4-[(2S,3R,4R,5R,6S)-3-acetyloxy-4,5-dihydroxy-6-methyloxan-2-yl]oxy-5-hydroxy-6-[2-(3-hydroxy-4-methoxyphenyl)ethoxy]-2-(hydroxymethyl)oxan-3-yl] (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",2,0
101915911,694.7,C33H42O16,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)OC)CO)OCCC4=CC(=C(C=C4)OC)O)O)O)OC(=O)C)O,"[(2R,3R,4R,5R,6R)-4-[(2S,3R,4R,5S,6S)-4-acetyloxy-3,5-dihydroxy-6-methyloxan-2-yl]oxy-5-hydroxy-6-[2-(3-hydroxy-4-methoxyphenyl)ethoxy]-2-(hydroxymethyl)oxan-3-yl] (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",2,0
101915910,694.7,C33H42O16,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)OC)CO)OCCC4=CC(=C(C=C4)OC)O)O)O)O)OC(=O)C,"[(2R,3R,4R,5R,6R)-4-[(2S,3R,4S,5R,6S)-5-acetyloxy-3,4-dihydroxy-6-methyloxan-2-yl]oxy-5-hydroxy-6-[2-(3-hydroxy-4-methoxyphenyl)ethoxy]-2-(hydroxymethyl)oxan-3-yl] (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",2,0
