Molecular_Formula,Trimmed_SMILES
C25H30O13,CCCCCCCCCOOCCCCOCCCCOCOOCCCCCOCOOOOO
C26H32O11,CCCCCCCCCOCCCOCCCCCCOCCCCCOCOOOOOCO
C19H20O5,CCCCCCCCCOCOCCCCCCCCOO
C36H48O20,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOCCCCCOOOOO
C20H22O6,CCCCCCCCCOCOCCCCCCCCOOCO
C31H40O16,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOO
C17H16O4,CCCCCCCCCCCCCCCCOOO
C28H32O17,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOOO
C17H20O6,CCCCCCCCCCCCCCCOOCOOO
C19H16O8,CCCCCCCCCCOCOCOOCCCCCCOOO
C31H30O13,CCCCCCCCCOCCCCCCOOCCCCCOCOCOCCCCCCCCOOOOOO
C57H72O33,CCCCCCCCCOOCCCCCOCOOOCOCCCCCCOCCCCCOCOOCOCCCCCCCCOOCOCCCCCOCOOCCCCCOCOOOOOOOCCCCCOCOOOOO
C31H28O15,CCCCCCCCCOCCCCCCOOOOCCCCCOCOCOCCCCCCCCOOOOOO
C31H40O16,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOO
C40H42O13,CCCCCCCCCOCOCCCCCCCCOOCOCCCCCCCCCOCOCCCCCCCCOOCOCOO
C26H26O12,CCCCCCCCCOOCCCCCCOOCOCCCCCCCCOOCOOOO
C20H22O7,CCCCCCCCCOOCOCCCCCCCCCOOO
C28H32O17,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C36H48O20,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOCCCCCOOOOO
C20H18O6,CCCCCCCCCCOCOCCCCCCCOCOO
C28H32O16,CCCCCCCCCOCCOCCCCOOCCCCCOCOOOOCCCCCOCOOOOO
C28H32O17,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOOCCCCCOCOOOOO
C28H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
C20H18O6,CCCCCCCCCOCOCCCCCCCCOCOO
C27H32O15,CCCCCCCCCCCOCCCCOOOCCCCCOCOOOOCCCCCOOOOO
C27H32O15,CCCCCCCCCCCOCCCCOOOCCCCCOCOOOOCCCCCOOOOO
C21H22O10,CCCCCCCCCCCOCCCCOOOCCCCOCOOOO
C21H22O10,CCCCCCCCCCCOCCCCOOOCCCCOCOOOO
C22H24O11,CCCCCCCCCCCOCCCCOOOCCCCCOCOOOOO
C22H24O11,CCCCCCCCCCCOCCCCOOOCCCCCOCOOOOO
C22H24O11,CCCCCCCCCCCOCCCCOOOCCCCCOCOOOOO
C44H52O24,CCCCCCCCCOOCCCCCCOOCCCCCCCCOCCCCCOCOOOOOOCCCCCCCOOCOCCCCCOCOOOOOOO
C44H52O24,CCCCCCCCCOOCCCCCCOOCCCCCCCCOCCCCCOCOOOOOOCCCCCCCOOCOCCCCCOCOOOOOOO
C44H52O24,CCCCCCCCCOOCCCCCCOOCCCCCCCCOCCCCCOCOOOOOOCCCCCCCOOCOCCCCCOCOOOOOOO
C44H52O24,CCCCCCCCCOOCCCCCCOOCCCCCCCCOCCCCCOCOOOOOOCCCCCCCOOCOCCCCCOCOOOOOOO
C17H16O6,CCCCCCCOCCCCCCCCOOCOO
C16H14O6,CCCCCCCCCCCCCCCOOOOO
C22H20O13,CCCCCCCCCOCCOCCCCOOOCCCCCOCOOOOOO
C34H34O8,CCCCCCCCCOCOCCCCCCCCCCCCCCOOCCOCOCCCCCCO
C27H30O15,CCCCCCCCCOCCCCCCOOCCCCCOCOCCCCOCOOOOOOOO
C22H24O11,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO
C25H30O12,CCCCCCCCCOCCCCOCCCCOCOOCCCCCOCOOOOO
C25H30O12,CCCCCCCCCOCCCCOCCCCOCOOCCCCCOCOOOOO
C30H36O18,CCCCCCCCCOCCCCCCOOCOCOOCCCCCOCOOOCCCCCOCOOOOOO
C18H22O9,CCCCCCCCCOOCCCCCCOOCOOCOO
C18H22O9,CCCCCCCCCOOCCCCCCOOCOOCOO
C18H22O9,CCCCCCCCCOOCCCCCCOOCOOCOO
C18H22O9,CCCCCCCCCOOCCCCCCOOCOOCOO
C16H14O7,CCCCCCCCCCCOCCCCOOOOO
C16H14O7,CCCCCCCCCCCOCCCCOOOOO
C27H20O8,CCCCCCCCCOOCCCCCCCOCCCCCCCCOCCOOO
C25H18O6,CCCCCCCCCOOCCCCCCCOCCCCCCCCOO
C28H32O16,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOO
