Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Prefix_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
70698198,314.4,C19H22O4,C1=CC(=CC=C1/C=C/CCC(CCC2=CC(=C(C=C2)O)O)O)O,"4-[(E)-3-hydroxy-7-(4-hydroxyphenyl)hept-6-enyl]benzene-1,2-diol",1,0,C19H22O5,466077.0,CCCCCCCCCCCCCCCCCCCOOOO,CCCCCCCCCCCCCCCCCCCOOOO,1,124116312
70692077,270.32,C17H18O3,C=CC(CC(C1=CC=C(C=C1)O)O)C2=CC=C(C=C2)O,4-[5-hydroxy-5-(4-hydroxyphenyl)pent-1-en-3-yl]phenol,1,0,C17H18O4,614400.0,CCCCCCCCCCCOOCCCCCCO,CCCCCCCCCCCOOCCCCCCO,5,158577763;118895143;22895355;159824507;118895143
70688376,300.3,C18H20O4,CC/C=C\C[C@@H]1[C@@H](C=CC1=O)CC(=O)OC2=CC=C(C=C2)O,"(4-hydroxyphenyl) 2-[(1R,5R)-4-oxo-5-[(Z)-pent-2-enyl]cyclopent-2-en-1-yl]acetate",1,0,C18H20O5,9995882.0,CCCCCCCCCCOCCOOCCCCCCO,CCCCCCCCCCOCCOOCCCCCCO,1,160248015
70687891,252.31,C17H16O2,C=CC(/C=C/C1=CC=C(C=C1)O)C2=CC(=CC=C2)O,"3-[(1E)-1-(4-hydroxyphenyl)penta-1,4-dien-3-yl]phenol",1,0,C17H16O3,44139042.0,CCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCOCCCCCCO,1,102341711
70687890,270.32,C17H18O3,C=CC(CC(C1=CC=C(C=C1)O)O)C2=CC(=CC=C2)O,3-[5-hydroxy-5-(4-hydroxyphenyl)pent-1-en-3-yl]phenol,1,0,C17H18O4,614400.0,CCCCCCCCCCCOOCCCCCCO,CCCCCCCCCCCOOCCCCCCO,5,158577763;118895143;22895355;159824507;118895143
70687204,436.4,C21H24O10,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O,"1-[2,4-dihydroxy-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-3-(4-hydroxyphenyl)propan-1-one",4,0,C21H24O11,142082614.0,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO,CCCCCCCCCOCCCCCCOCCCCCOCOOOOOOO,14,162873934;155890160;154725283;133556525;132350833;102224313;102068587;88939844;53318165;42607720;38362081;21722190;16752601;11282394
70653395,218.29,C14H18O2,CCCCC(=O)CC(=C)C1=CC=C(C=C1)O,2-(4-hydroxyphenyl)oct-1-en-4-one,0,2,C14H18O3,10633446.0,CCCCCOCCCCCCCCCO,CCCCCOCCCCCCCCCO,3,163041280;163041279;102143531
70649024,270.28,C16H14O4,C1C(C(C2=CC=CC=C2O1)O)C(=O)C3=CC=C(C=C3)O,"(4-hydroxy-3,4-dihydro-2H-chromen-3-yl)-(4-hydroxyphenyl)methanone",0,4,C16H14O5,44257524.0,CCCCCCCCCOOCOCCCCCCO,CCCCCCCCCOOCOCCCCCCO,2,76694095;57976856
70634619,256.339,C17H20O2,CCCC.C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)O,butane;(4-hydroxyphenyl)-phenylmethanone,0,1,C17H20O3,10445935.0,CCCCCCCCCCCOCCCCCCO,CCCCCCCCCCCOCCCCCCO,2,134929290;137652508
70622963,294.3,C19H18O3,C=CC(C1=CC=C(C=C1)O)C(=O)C(C=C)C2=CC=C(C=C2)O,"3,5-bis(4-hydroxyphenyl)hepta-1,6-dien-4-one",0,1,C19H18O4,9818148.0,CCCCCCCCCOCOCCCCCCCCCO,CCCCCCCCCOCOCCCCCCCCCO,2,54251285;9818148
